temperatura,chuva,feriado,fim_semana,turistas,periodo,ponto_visitado
11,1,0,0,4722,noite,Itaipu
34,1,1,0,8471,tarde,Itaipu
10,0,1,1,4184,tarde,Parque_Aves
35,1,0,0,13302,manha,Itaipu
14,0,1,1,10860,tarde,Parque_Aves
33,1,0,1,19907,manha,Cataratas
11,1,1,1,2602,tarde,Itaipu
31,1,0,0,6029,noite,Itaipu
35,0,1,0,836,manha,Parque_Aves
25,1,0,1,7930,noite,Itaipu
15,1,0,1,4186,manha,Cataratas
22,0,0,0,10889,manha,Parque_Aves
16,0,0,0,14314,tarde,Parque_Aves
10,0,0,1,1861,noite,Marco
14,0,0,1,9715,tarde,Parque_Aves
19,0,1,0,15454,manha,Parque_Aves
18,1,0,1,5152,noite,Itaipu
33,0,0,0,5854,noite,Marco
36,1,1,1,14772,noite,Itaipu
33,0,0,0,5006,manha,Parque_Aves
37,0,0,1,5329,manha,Cataratas
28,1,0,1,6639,noite,Itaipu
13,0,1,0,14894,manha,Parque_Aves
26,1,1,1,2815,noite,Itaipu
31,0,1,0,694,tarde,Parque_Aves
29,1,1,0,914,tarde,Itaipu
18,1,1,0,10764,noite,Itaipu
21,0,0,1,10940,manha,Parque_Aves
20,0,0,0,18032,noite,Marco
26,1,1,0,2824,manha,Itaipu
21,0,1,1,5517,manha,Parque_Aves
38,1,0,0,6825,tarde,Cataratas
25,1,0,1,5399,noite,Itaipu
28,0,1,0,831,noite,Marco
34,1,0,0,16147,tarde,Itaipu
18,1,0,0,13634,tarde,Cataratas
15,1,0,1,12907,manha,Itaipu
34,1,1,1,1033,tarde,Itaipu
22,1,1,0,13599,noite,Itaipu
34,0,1,0,10662,manha,Parque_Aves
27,0,1,0,16020,manha,Parque_Aves
19,0,0,1,12552,manha,Parque_Aves
38,1,0,1,3043,tarde,Itaipu
18,0,1,1,11260,manha,Parque_Aves
36,1,0,0,19503,manha,Itaipu
18,1,1,0,3553,manha,Itaipu
37,0,0,1,7276,noite,Cataratas
12,1,1,1,15907,manha,Itaipu
34,0,0,0,9407,manha,Parque_Aves
14,0,1,1,8223,noite,Marco
19,0,0,1,8594,noite,Marco
28,0,0,0,5214,manha,Parque_Aves
28,1,1,0,2735,manha,Itaipu
16,0,0,1,10680,manha,Parque_Aves
21,0,1,0,18934,noite,Marco
12,0,0,0,1808,noite,Marco
17,0,0,0,12763,tarde,Parque_Aves
15,0,1,0,2566,manha,Parque_Aves
15,1,1,0,4798,tarde,Itaipu
17,0,1,1,14709,noite,Marco
30,1,0,0,15402,manha,Cataratas
37,1,0,1,2420,tarde,Itaipu
35,0,0,1,14182,manha,Cataratas
28,0,1,1,19339,noite,Marco
15,0,1,1,17437,noite,Marco
24,0,0,0,12896,tarde,Parque_Aves
13,0,1,1,13106,manha,Parque_Aves
10,1,1,0,3757,manha,Itaipu
23,0,0,1,16690,noite,Marco
27,1,0,0,13568,tarde,Itaipu
21,0,0,1,3121,tarde,Parque_Aves
32,0,0,1,18049,tarde,Cataratas
24,1,1,0,5130,noite,Itaipu
24,0,0,0,3708,tarde,Parque_Aves
26,0,1,0,17526,noite,Marco
35,1,0,0,16995,manha,Cataratas
23,1,0,1,10133,noite,Itaipu
22,0,1,0,5029,manha,Parque_Aves
20,1,0,1,11190,noite,Cataratas
22,1,0,1,10444,manha,Itaipu
17,1,1,1,2852,manha,Itaipu
25,0,0,0,13271,noite,Marco
32,0,0,0,7605,noite,Marco
10,1,0,0,12299,tarde,Cataratas
14,1,0,0,5263,manha,Itaipu
19,1,1,1,7945,manha,Itaipu
17,0,1,1,18101,tarde,Parque_Aves
27,1,0,1,13736,tarde,Itaipu
34,1,1,1,8562,tarde,Itaipu
24,0,0,0,7933,noite,Marco
16,1,1,1,9000,manha,Itaipu
27,0,1,1,1366,tarde,Parque_Aves
32,0,1,0,3300,tarde,Parque_Aves
21,1,1,0,7177,manha,Itaipu
20,1,1,0,6776,noite,Itaipu
29,1,1,0,18329,manha,Itaipu
31,0,0,0,18764,tarde,Parque_Aves
24,0,1,0,4645,noite,Marco
30,1,1,1,925,tarde,Itaipu
13,1,1,1,1793,tarde,Itaipu
37,0,0,0,6672,noite,Marco
29,1,0,0,4603,tarde,Itaipu
27,1,1,0,18944,noite,Itaipu
37,1,0,0,15979,manha,Itaipu
16,1,1,0,3300,manha,Itaipu
30,0,0,1,1705,manha,Cataratas
19,0,0,0,7767,tarde,Parque_Aves
37,0,1,0,19279,manha,Parque_Aves
11,0,0,0,4526,tarde,Parque_Aves
36,0,1,1,11332,tarde,Cataratas
34,1,0,1,8827,noite,Itaipu
14,0,1,1,12293,noite,Marco
26,0,1,1,5729,manha,Parque_Aves
13,0,0,1,17039,manha,Parque_Aves
24,1,1,0,18155,manha,Itaipu
29,0,0,1,5363,manha,Cataratas
23,1,0,1,15376,noite,Itaipu
35,0,0,1,15459,noite,Cataratas
32,0,1,0,5155,manha,Parque_Aves
12,1,0,1,18474,tarde,Itaipu
16,1,0,0,7973,noite,Cataratas
27,1,1,0,930,noite,Itaipu
14,0,0,0,11871,tarde,Parque_Aves
28,1,1,1,2331,noite,Itaipu
18,1,0,1,1262,tarde,Itaipu
35,0,0,1,7517,noite,Cataratas
34,1,0,1,7120,manha,Itaipu
34,0,1,0,1845,noite,Marco
23,0,0,0,11350,manha,Parque_Aves
34,1,0,0,6578,manha,Itaipu
29,0,1,1,18270,manha,Cataratas
29,1,1,1,17586,noite,Itaipu
29,1,0,1,1914,manha,Cataratas
27,0,0,1,14431,noite,Marco
17,1,1,1,10174,noite,Itaipu
32,1,0,1,13925,manha,Itaipu
14,0,1,1,10300,tarde,Parque_Aves
36,0,0,1,5286,manha,Cataratas
35,0,0,1,19274,manha,Cataratas
11,0,1,0,18239,manha,Parque_Aves
36,1,0,0,5931,manha,Itaipu
10,0,1,0,12382,tarde,Parque_Aves
12,0,0,0,11341,tarde,Parque_Aves
34,0,0,1,16877,manha,Cataratas
14,0,1,0,16689,tarde,Parque_Aves
37,0,0,0,14577,tarde,Parque_Aves
38,1,1,0,10868,noite,Cataratas
14,1,1,0,15798,tarde,Itaipu
27,1,0,0,11705,manha,Itaipu
22,1,0,0,7731,tarde,Itaipu
17,0,0,0,9781,manha,Parque_Aves
15,1,0,1,15777,tarde,Itaipu
15,1,0,0,5086,manha,Itaipu
13,1,0,0,9575,manha,Itaipu
19,1,0,0,10263,tarde,Itaipu
21,1,0,1,15616,noite,Itaipu
28,1,0,1,5169,manha,Itaipu
17,0,1,1,17938,tarde,Parque_Aves
18,1,0,1,12474,tarde,Itaipu
12,0,1,1,18698,manha,Parque_Aves
30,0,1,1,19582,noite,Cataratas
20,0,0,0,1049,tarde,Parque_Aves
30,1,1,1,11316,noite,Cataratas
29,1,0,0,2646,manha,Itaipu
11,0,1,1,8229,tarde,Parque_Aves
19,0,0,1,17766,manha,Parque_Aves
29,1,1,0,8044,tarde,Itaipu
28,0,1,1,14347,noite,Marco
30,1,1,1,15578,tarde,Itaipu
25,1,0,1,640,manha,Itaipu
16,0,1,1,16027,manha,Parque_Aves
13,0,0,1,17639,tarde,Parque_Aves
30,0,1,1,5710,manha,Cataratas
18,1,1,0,7425,tarde,Itaipu
12,1,0,1,15313,manha,Cataratas
21,0,0,1,5627,manha,Parque_Aves
37,0,1,0,7193,manha,Parque_Aves
15,1,0,0,2875,noite,Itaipu
10,0,0,1,7144,manha,Parque_Aves
21,1,0,1,10740,manha,Itaipu
35,1,1,0,16725,noite,Itaipu
27,1,1,1,11166,noite,Itaipu
15,0,1,0,2039,noite,Marco
19,0,0,1,4410,tarde,Parque_Aves
30,0,0,0,5706,noite,Marco
17,1,0,0,10080,tarde,Itaipu
37,0,1,1,14846,noite,Cataratas
38,0,1,1,12995,tarde,Cataratas
13,0,0,1,9269,noite,Marco
18,0,0,0,3408,tarde,Parque_Aves
31,1,1,1,18430,tarde,Itaipu
38,0,0,1,17800,tarde,Cataratas
31,1,0,0,7711,tarde,Itaipu
25,1,1,1,13494,manha,Itaipu
17,0,0,0,16752,manha,Parque_Aves
15,0,0,1,871,tarde,Parque_Aves
27,1,0,1,8776,manha,Itaipu
27,1,0,1,2845,noite,Itaipu
30,0,1,1,2429,manha,Cataratas
34,1,0,0,16838,noite,Itaipu
13,1,0,1,11912,noite,Cataratas
26,1,1,0,7637,tarde,Cataratas
11,0,0,1,14117,tarde,Parque_Aves
27,1,0,1,14161,tarde,Cataratas
38,0,1,1,15235,tarde,Cataratas
28,0,1,1,4811,tarde,Parque_Aves
30,1,1,0,6448,noite,Itaipu
30,1,0,0,4089,tarde,Itaipu
18,1,1,0,1497,noite,Cataratas
31,0,1,0,15599,tarde,Parque_Aves
21,0,1,1,18061,tarde,Parque_Aves
37,0,1,0,16118,manha,Parque_Aves
35,1,1,0,19087,noite,Itaipu
16,0,1,1,19268,noite,Marco
24,0,1,0,16810,manha,Parque_Aves
34,0,0,0,11063,tarde,Parque_Aves
30,0,0,0,16334,tarde,Parque_Aves
34,1,1,1,17574,noite,Cataratas
18,1,0,0,10821,noite,Itaipu
29,1,1,1,11976,noite,Itaipu
26,1,1,1,12134,tarde,Itaipu
36,1,1,0,4353,noite,Itaipu
34,0,1,1,3118,manha,Cataratas
18,0,1,0,9420,noite,Marco
35,0,0,1,18258,tarde,Cataratas
17,1,1,0,8330,noite,Itaipu
36,1,0,0,14220,noite,Itaipu
14,0,1,0,889,noite,Marco
24,0,0,0,3719,noite,Marco
13,0,1,1,9437,manha,Parque_Aves
24,0,1,0,19232,noite,Marco
38,0,0,0,10458,noite,Marco
26,1,1,1,3205,tarde,Itaipu
11,0,1,0,11014,manha,Parque_Aves
27,1,1,1,18953,manha,Itaipu
14,1,0,0,8812,manha,Itaipu
25,0,0,1,11193,noite,Marco
13,0,1,1,15581,tarde,Parque_Aves
14,0,1,1,18425,noite,Marco
23,0,0,1,16325,tarde,Parque_Aves
22,0,1,0,14258,noite,Marco
22,1,1,1,1265,manha,Cataratas
29,0,0,1,9889,noite,Cataratas
32,1,0,1,2700,noite,Itaipu
37,1,0,0,12832,noite,Itaipu
27,1,1,1,1628,noite,Itaipu
36,0,1,0,10088,tarde,Parque_Aves
37,1,0,0,3725,tarde,Itaipu
10,1,0,0,11164,noite,Itaipu
31,0,1,0,17878,noite,Marco
34,1,1,0,19250,noite,Itaipu
22,1,0,1,9186,manha,Itaipu
23,0,1,0,6741,noite,Marco
37,0,0,0,11832,noite,Marco
31,0,0,1,8495,noite,Cataratas
32,1,0,1,6688,tarde,Itaipu
30,0,0,1,6363,manha,Cataratas
32,0,0,1,13527,noite,Cataratas
10,0,1,0,3032,noite,Marco
13,1,1,0,7680,manha,Itaipu
25,1,1,1,6353,noite,Itaipu
24,0,1,1,9482,noite,Marco
34,0,0,1,18549,tarde,Cataratas
19,1,1,1,15604,tarde,Itaipu
32,0,0,0,9894,noite,Marco
36,0,0,0,12044,manha,Parque_Aves
37,1,0,1,5954,noite,Itaipu
34,1,1,1,10118,noite,Itaipu
17,1,0,1,19241,tarde,Itaipu
10,0,1,0,1253,noite,Marco
17,0,1,1,4763,tarde,Parque_Aves
22,0,1,1,1849,manha,Parque_Aves
22,0,1,1,14411,tarde,Parque_Aves
25,0,1,0,15874,tarde,Parque_Aves
18,1,0,0,17526,tarde,Itaipu
30,1,1,0,8978,tarde,Itaipu
12,1,0,0,13825,tarde,Itaipu
28,0,0,0,610,manha,Parque_Aves
25,1,1,0,3627,noite,Cataratas
36,1,0,1,7499,noite,Cataratas
29,0,1,0,1777,tarde,Parque_Aves
14,1,1,1,4602,tarde,Itaipu
20,0,0,0,11000,manha,Parque_Aves
11,0,0,1,1787,noite,Marco
31,1,0,1,15358,manha,Itaipu
21,1,0,1,12493,tarde,Itaipu
26,0,0,0,18969,tarde,Parque_Aves
33,0,1,0,6482,tarde,Parque_Aves
14,0,1,0,10480,noite,Marco
34,1,1,1,5690,manha,Cataratas
25,1,1,0,19924,noite,Itaipu
13,1,1,0,14672,manha,Itaipu
13,0,0,0,10828,manha,Parque_Aves
13,1,0,1,5548,noite,Itaipu
31,0,1,0,11134,noite,Marco
13,0,0,1,1697,manha,Parque_Aves
12,1,0,0,6591,manha,Itaipu
36,1,0,0,14067,manha,Itaipu
14,0,0,0,4860,noite,Marco
13,1,1,0,12563,noite,Itaipu
24,1,0,0,965,manha,Itaipu
10,0,0,1,652,manha,Parque_Aves
17,1,0,0,2265,manha,Itaipu
35,1,1,1,9125,tarde,Itaipu
27,0,1,1,4009,manha,Parque_Aves
19,0,1,1,15711,noite,Marco
33,1,1,0,4840,manha,Itaipu
26,0,1,1,7001,tarde,Parque_Aves
15,1,0,1,5005,tarde,Itaipu
37,0,0,1,3115,manha,Cataratas
23,1,1,0,16526,tarde,Itaipu
27,1,1,1,13149,tarde,Itaipu
30,1,1,1,3474,noite,Itaipu
18,1,1,0,4412,tarde,Itaipu
37,0,0,0,13323,noite,Marco
21,0,0,1,17209,manha,Parque_Aves
33,1,0,1,11836,manha,Itaipu
23,0,1,0,1456,tarde,Parque_Aves
18,0,0,0,18164,tarde,Parque_Aves
26,0,1,1,16227,tarde,Parque_Aves
36,1,1,0,4122,noite,Cataratas
37,1,0,0,17652,noite,Itaipu
33,1,0,1,14752,tarde,Cataratas
10,1,1,0,3101,tarde,Itaipu
34,0,1,1,828,tarde,Cataratas
19,0,0,0,17274,tarde,Parque_Aves
32,0,1,1,6021,tarde,Cataratas
28,1,0,0,14928,tarde,Itaipu
33,0,0,0,2670,noite,Marco
23,1,1,1,12670,tarde,Itaipu
13,1,0,1,4557,manha,Itaipu
16,1,0,0,2913,tarde,Itaipu
24,0,0,0,3113,noite,Marco
18,0,1,0,13495,noite,Marco
14,0,1,0,4116,noite,Marco
22,1,1,1,1393,tarde,Cataratas
35,1,1,0,17685,noite,Itaipu
33,0,1,0,2596,tarde,Parque_Aves
35,1,0,1,12501,manha,Cataratas
30,0,1,0,18891,tarde,Parque_Aves
26,1,0,1,16992,noite,Itaipu
20,0,0,0,12156,tarde,Parque_Aves
35,0,0,0,8526,manha,Parque_Aves
33,0,0,0,2417,manha,Parque_Aves
21,1,1,0,3018,tarde,Itaipu
30,1,1,0,18998,tarde,Itaipu
32,0,1,1,15603,manha,Cataratas
21,0,1,0,1618,noite,Marco
22,0,1,0,5772,noite,Marco
38,1,0,1,13090,manha,Itaipu
14,1,0,1,12258,manha,Itaipu
14,0,1,0,12420,noite,Marco
12,1,0,1,7087,manha,Itaipu
12,1,1,1,4752,tarde,Itaipu
12,1,1,0,4335,manha,Cataratas
14,1,1,1,13264,manha,Itaipu
34,1,0,0,18131,noite,Cataratas
35,1,0,0,4187,manha,Itaipu
38,1,1,0,9996,noite,Itaipu
25,1,0,1,5113,manha,Itaipu
28,0,0,1,9417,noite,Marco
11,0,0,1,19762,manha,Parque_Aves
34,1,0,0,13665,noite,Cataratas
34,1,0,0,5163,noite,Cataratas
28,0,0,1,16753,manha,Parque_Aves
18,0,0,1,9787,manha,Parque_Aves
21,1,1,1,15428,tarde,Itaipu
30,1,0,0,14313,manha,Itaipu
31,1,1,1,10677,noite,Itaipu
26,0,0,1,9340,tarde,Parque_Aves
19,0,0,0,13940,manha,Parque_Aves
30,1,1,0,12215,manha,Cataratas
25,0,0,0,11429,tarde,Parque_Aves
29,0,1,0,11566,manha,Parque_Aves
14,0,1,0,13602,manha,Parque_Aves
18,0,0,0,9821,tarde,Parque_Aves
10,0,0,0,2373,tarde,Parque_Aves
35,1,1,0,1866,tarde,Itaipu
13,1,0,0,9005,manha,Itaipu
16,0,0,1,9695,manha,Parque_Aves
35,1,0,0,15812,noite,Itaipu
17,0,0,0,2925,tarde,Parque_Aves
34,1,1,0,5956,noite,Itaipu
32,0,1,1,4181,noite,Cataratas
19,0,0,1,16207,tarde,Parque_Aves
12,1,0,1,1060,manha,Itaipu
19,0,0,1,18085,noite,Marco
25,1,0,1,3857,noite,Cataratas
27,1,0,0,13167,tarde,Itaipu
13,1,0,1,8946,noite,Itaipu
10,1,0,1,13296,noite,Itaipu
10,0,1,1,15886,noite,Marco
29,1,0,1,17641,manha,Cataratas
21,1,0,0,6924,manha,Itaipu
31,1,0,0,912,manha,Cataratas
19,1,1,0,17827,manha,Cataratas
10,0,0,0,12714,noite,Marco
29,1,0,1,3680,noite,Itaipu
23,0,1,1,5588,tarde,Parque_Aves
36,1,1,0,7003,manha,Itaipu
17,0,1,1,19481,noite,Marco
21,0,1,1,15911,tarde,Parque_Aves
37,1,1,0,13226,manha,Cataratas
12,0,1,1,18175,noite,Marco
31,1,1,0,11026,noite,Cataratas
