,Posicao,Selecao,Jogos,Vitorias,Empates,Derrotas,Gols Marcados,Gols Sofridos,Saldo de Gols,Pontos,Ano
42,14,Netherlands,1,0,0,1,0,3,-3,0,1938
43,15,Dutch East Indies,1,0,0,1,0,6,-6,0,1938
44,1,Uruguay,4,3,1,0,15,5,10,7,1950
45,2,Brazil,6,4,1,1,22,6,16,9,1950
46,3,Sweden,5,2,1,2,11,15,-4,5,1950
47,4,Spain,6,3,1,2,10,12,-2,7,1950
48,5,Yugoslavia,3,2,0,1,7,3,4,4,1950
49,6,Switzerland,3,1,1,1,4,6,-2,3,1950
50,7,Italy,2,1,0,1,4,3,1,2,1950
51,8,England,3,1,0,2,2,2,0,2,1950
52,9,Chile,3,1,0,2,5,6,-1,2,1950
53,10,United States,3,1,0,2,4,8,-4,2,1950
54,11,Paraguay,2,0,1,1,2,4,-2,1,1950
55,12,Mexico,3,0,0,3,2,10,-8,0,1950
56,13,Bolivia,1,0,0,1,0,8,-8,0,1950
57,1,West Germany,6,5,0,1,25,14,11,10,1954
58,2,Hungary,5,4,0,1,27,10,17,8,1954
59,3,Austria,5,4,0,1,17,12,5,8,1954
60,4,Uruguay,5,3,0,2,16,9,7,6,1954
61,5,Switzerland,4,2,0,2,11,11,0,4,1954
62,6,Brazil,3,1,1,1,8,5,3,3,1954
63,7,England,3,1,1,1,8,8,0,3,1954
64,8,Yugoslavia,3,1,1,1,2,3,-1,3,1954
65,9,Turkey,3,1,0,2,10,11,-1,2,1954
66,10,Italy,3,1,0,2,6,7,-1,2,1954
67,11,France,2,1,0,1,3,3,0,2,1954
68,12,Belgium,2,0,1,1,5,8,-3,1,1954
69,13,Mexico,2,0,0,2,2,8,-6,0,1954
70,14,Czechoslovakia,2,0,0,2,0,7,-7,0,1954
71,15,Scotland,2,0,0,2,0,8,-8,0,1954
72,16,South Korea,2,0,0,2,0,16,-16,0,1954
73,1,Brazil,6,5,1,0,16,4,12,11,1958
74,2,Sweden,6,4,1,1,12,7,5,9,1958
75,3,France,6,4,0,2,23,15,8,8,1958
76,4,West Germany,6,2,2,2,12,14,-2,6,1958
77,5,Wales,5,1,3,1,4,4,0,5,1958
78,6,Soviet Union,5,2,1,2,5,6,-1,5,1958
79,7,Northern Ireland,5,2,1,2,6,10,-4,5,1958
80,8,Yugoslavia,4,1,2,1,7,7,0,4,1958
81,9,Czechoslovakia,4,1,1,2,9,6,3,3,1958
82,10,Hungary,4,1,1,2,7,5,2,3,1958
83,11,England,4,0,3,1,4,5,-1,3,1958
84,12,Paraguay,3,1,1,1,9,12,-3,3,1958
85,13,Argentina,3,1,0,2,5,10,-5,2,1958
86,14,Scotland,3,0,1,2,4,6,-2,1,1958
87,15,Austria,3,0,1,2,2,7,-5,1,1958
88,16,Mexico,3,0,1,2,1,8,-7,1,1958
89,1,Brazil,6,5,1,0,14,5,9,11,1962
90,2,Czechoslovakia,6,3,1,2,7,7,0,7,1962
91,3,Chile,6,4,0,2,10,8,2,8,1962
92,4,Yugoslavia,6,3,0,3,10,7,3,6,1962
93,5,Hungary,4,2,1,1,8,3,5,5,1962
94,6,Soviet Union,4,2,1,1,9,7,2,5,1962
95,7,West Germany,4,2,1,1,4,2,2,5,1962
96,8,England,4,1,1,2,5,6,-1,3,1962
97,9,Italy,3,1,1,1,3,2,1,3,1962
98,10,Argentina,3,1,1,1,2,3,-1,3,1962
99,11,Mexico,3,1,0,2,3,4,-1,2,1962
100,12,Spain,3,1,0,2,2,3,-1,2,1962
101,13,Uruguay,3,1,0,2,4,6,-2,2,1962
102,14,Colombia,3,0,1,2,5,11,-6,1,1962
103,15,Bulgaria,3,0,1,2,1,7,-6,1,1962
104,16,Switzerland,3,0,0,3,2,8,-6,0,1962
105,1,England,6,5,1,0,11,3,8,11,1966
106,2,West Germany,6,4,1,1,15,6,9,9,1966
107,3,Portugal,6,5,0,1,17,8,9,10,1966
108,4,Soviet Union,6,4,0,2,10,6,4,8,1966
109,5,Argentina,4,2,1,1,4,2,2,5,1966
110,6,Hungary,4,2,0,2,8,7,1,4,1966
111,7,Uruguay,4,1,2,1,2,5,-3,4,1966
112,8,North Korea,4,1,1,2,5,9,-4,3,1966
113,9,Italy,3,1,0,2,2,2,0,2,1966
114,10,Spain,3,1,0,2,4,5,-1,2,1966
115,11,Brazil,3,1,0,2,4,6,-2,2,1966
116,12,Mexico,3,0,2,1,1,3,-2,2,1966
117,13,Chile,3,0,1,2,2,5,-3,1,1966
118,13,France,3,0,1,2,2,5,-3,1,1966
119,15,Bulgaria,3,0,0,3,1,8,-7,0,1966
120,16,Switzerland,3,0,0,3,1,9,-8,0,1966
121,1,Brazil,6,6,0,0,19,7,12,12,1970
122,2,Italy,6,3,2,1,10,8,2,8,1970
123,3,West Germany,6,5,0,1,17,10,7,10,1970
124,4,Uruguay,6,2,1,3,4,5,-1,5,1970
125,5,Soviet Union,4,2,1,1,6,2,4,5,1970
126,6,Mexico,4,2,1,1,6,4,2,5,1970
127,7,Peru,4,2,0,2,9,9,0,4,1970
128,8,England,4,2,0,2,4,4,0,4,1970
129,9,Sweden,3,1,1,1,2,2,0,3,1970
130,10,Belgium,3,1,0,2,4,5,-1,2,1970
131,10,Romania,3,1,0,2,4,5,-1,2,1970
132,12,Israel*,3,0,2,1,1,3,-2,2,1970
133,13,Bulgaria**,3,0,1,2,5,9,-4,1,1970
134,14,Morocco,3,0,1,2,2,6,-4,1,1970
135,15,Czechoslovakia,3,0,0,3,2,7,-5,0,1970
136,16,El Salvador,3,0,0,3,0,9,-9,0,1970
137,1,West Germany,7,6,0,1,13,4,9,12,1974
138,2,Netherlands,7,5,1,1,15,3,12,11,1974
139,3,Poland,7,6,0,1,16,5,11,12,1974
140,4,Brazil,7,3,2,2,6,4,2,8,1974
141,5,Sweden,6,2,2,2,7,6,1,6,1974
142,6,East Germany,6,2,2,2,5,5,0,6,1974
143,7,Yugoslavia,6,1,2,3,12,7,5,4,1974
144,8,Argentina,6,1,2,3,9,12,-3,4,1974
145,9,Scotland,3,1,2,0,3,1,2,4,1974
146,10,Italy,3,1,1,1,5,4,1,3,1974
147,11,Chile,3,0,2,1,1,2,-1,2,1974
148,12,Bulgaria,3,0,2,1,2,5,-3,2,1974
149,13,Uruguay,3,0,1,2,1,6,-5,1,1974
150,14,Australia,3,0,1,2,0,5,-5,1,1974
151,15,Haiti,3,0,0,3,2,14,-12,0,1974
152,16,Zaire,3,0,0,3,0,14,-14,0,1974
153,1,Argentina,7,5,1,1,15,4,11,11,1978
154,2,Netherlands,7,3,2,2,15,10,5,8,1978
155,3,Brazil,7,4,3,0,10,3,7,11,1978
156,4,Italy,7,4,1,2,9,6,3,9,1978
157,5,Poland,6,3,1,2,6,6,0,7,1978
158,6,West Germany,6,1,4,1,10,5,5,6,1978
159,7,Austria,6,3,0,3,7,10,-3,6,1978
160,8,Peru,6,2,1,3,7,12,-5,5,1978
161,9,Tunisia,3,1,1,1,3,2,1,3,1978
162,10,Spain,3,1,1,1,2,2,0,3,1978
163,11,Scotland,3,1,1,1,5,6,-1,3,1978
164,12,France,3,1,0,2,5,5,0,2,1978
165,13,Sweden,3,0,1,2,1,3,-2,1,1978
166,14,Iran,3,0,1,2,2,8,-6,1,1978
167,15,Hungary,3,0,0,3,3,8,-5,0,1978
168,16,Mexico,3,0,0,3,2,12,-10,0,1978
169,1,Italy,7,4,3,0,12,6,6,11,1982
170,2,West Germany,7,3,2,2,12,10,2,8,1982
171,3,Poland,7,3,3,1,11,5,6,9,1982
172,4,France,7,3,2,2,16,12,4,8,1982
173,5,Brazil,5,4,0,1,15,6,9,8,1982
174,6,England,5,3,2,0,6,1,5,8,1982
175,7,Soviet Union,5,2,2,1,7,4,3,6,1982
176,8,Austria,5,2,1,2,5,4,1,5,1982
177,9,Northern Ireland,5,1,3,1,5,7,-2,5,1982
178,10,Belgium,5,2,1,2,3,5,-2,5,1982
179,11,Argentina,5,2,0,3,8,7,1,4,1982
180,12,Spain,5,1,2,2,4,5,-1,4,1982
181,13,Algeria,3,2,0,1,5,5,0,4,1982
182,14,Hungary,3,1,1,1,12,6,6,3,1982
183,15,Scotland,3,1,1,1,8,8,0,3,1982
184,16,Yugoslavia,3,1,1,1,2,2,0,3,1982
185,17,Cameroon,3,0,3,0,1,1,0,3,1982
186,18,Honduras,3,0,2,1,2,3,-1,2,1982
187,19,Czechoslovakia,3,0,2,1,2,4,-2,2,1982
188,20,Peru,3,0,2,1,2,6,-4,2,1982
189,21,Kuwait,3,0,1,2,2,6,-4,1,1982
190,22,Chile,3,0,0,3,3,8,-5,0,1982
191,23,New Zealand,3,0,0,3,2,12,-10,0,1982
192,24,El Salvador,3,0,0,3,1,13,-12,0,1982
193,1,Argentina,7,6,1,0,14,5,9,13,1986
194,2,West Germany,7,3,2,2,8,7,1,8,1986
195,3,France,7,4,2,1,12,6,6,10,1986
196,4,Belgium,7,2,2,3,12,15,-3,6,1986
197,5,Brazil,5,4,1,0,10,1,9,9,1986
198,6,Mexico,5,3,2,0,6,2,4,8,1986
199,7,Spain,5,3,1,1,11,4,7,7,1986
200,8,England,5,2,1,2,7,3,4,5,1986
201,9,Denmark,4,3,0,1,10,6,4,6,1986
202,10,Soviet Union,4,2,1,1,12,5,7,5,1986
203,11,Morocco,4,1,2,1,3,2,1,4,1986
204,12,Italy,4,1,2,1,5,6,-1,4,1986
205,13,Paraguay,4,1,2,1,4,6,-2,4,1986
206,14,Poland,4,1,1,2,1,7,-6,3,1986
207,15,Bulgaria,4,0,2,2,2,6,-4,2,1986
208,16,Uruguay,4,0,2,2,2,8,-6,2,1986
209,17,Portugal,3,1,0,2,2,4,-2,2,1986
210,18,Hungary,3,1,0,2,2,9,-7,2,1986
211,19,Scotland,3,0,1,2,1,3,-2,1,1986
212,20,South Korea,3,0,1,2,4,7,-3,1,1986
213,21,Northern Ireland,3,0,1,2,2,6,-4,1,1986
214,22,Algeria,3,0,1,2,1,5,-4,1,1986
215,23,Iraq,3,0,0,3,1,4,-3,0,1986
216,24,Canada,3,0,0,3,0,5,-5,0,1986
217,1,West Germany,7,5,2,0,15,5,10,12,1990
218,2,Argentina,7,2,3,2,5,4,1,7,1990
219,3,Italy,7,6,1,0,10,2,8,13,1990
220,4,England,7,3,3,1,8,6,2,9,1990
221,5,Yugoslavia,5,3,1,1,8,6,2,7,1990
222,6,Czechoslovakia,5,3,0,2,10,5,5,6,1990
223,7,Cameroon,5,3,0,2,7,9,-2,6,1990
224,8,Republic of Ireland,5,0,4,1,2,3,-1,4,1990
225,9,Brazil,4,3,0,1,4,2,2,6,1990
226,10,Spain,4,2,1,1,6,4,2,5,1990
227,11,Belgium,4,2,0,2,6,4,2,4,1990
228,12,Romania,4,1,2,1,4,3,1,4,1990
229,13,Costa Rica,4,2,0,2,4,6,-2,4,1990
230,14,Colombia,4,1,1,2,4,4,0,3,1990
231,15,Netherlands,4,0,3,1,3,4,-1,3,1990
232,16,Uruguay,4,1,1,2,2,5,-3,3,1990
233,17,Soviet Union,3,1,0,2,4,4,0,2,1990
234,18,Austria,3,1,0,2,2,3,-1,2,1990
235,18,Scotland,3,1,0,2,2,3,-1,2,1990
236,20,Egypt,3,0,2,1,1,2,-1,2,1990
237,21,Sweden,3,0,0,3,3,6,-3,0,1990
238,22,South Korea,3,0,0,3,1,6,-5,0,1990
239,23,United States,3,0,0,3,2,8,-6,0,1990
240,24,United Arab Emirates,3,0,0,3,2,11,-9,0,1990
241,1,Brazil,7,5,2,0,11,3,8,17,1994
242,2,Italy,7,4,2,1,8,5,3,14,1994
243,3,Sweden,7,3,3,1,15,8,7,12,1994
244,4,Bulgaria,7,3,1,3,10,11,-1,10,1994
245,5,Germany,5,3,1,1,9,7,2,10,1994
246,6,Romania,5,3,1,1,10,9,1,10,1994
247,7,Netherlands,5,3,0,2,8,6,2,9,1994
248,8,Spain,5,2,2,1,10,6,4,8,1994
249,9,Nigeria,4,2,0,2,7,4,3,6,1994
250,10,Argentina,4,2,0,2,8,6,2,6,1994
251,11,Belgium,4,2,0,2,4,4,0,6,1994
252,12,Saudi Arabia,4,2,0,2,5,6,-1,6,1994
253,13,Mexico,4,1,2,1,4,4,0,5,1994
254,14,United States,4,1,1,2,3,4,-1,4,1994
255,15,Switzerland,4,1,1,2,5,7,-2,4,1994
256,16,Republic of Ireland,4,1,1,2,2,4,-2,4,1994
257,17,Norway,3,1,1,1,1,1,0,4,1994
258,18,Russia,3,1,0,2,7,6,1,3,1994
259,19,Colombia,3,1,0,2,4,5,-1,3,1994
260,20,South Korea,3,0,2,1,4,5,-1,2,1994
261,21,Bolivia,3,0,1,2,1,4,-3,1,1994
262,22,Cameroon,3,0,1,2,3,11,-8,1,1994
263,23,Morocco,3,0,0,3,2,5,-3,0,1994
264,24,Greece,3,0,0,3,0,10,-10,0,1994
265,1,France,7,6,1,0,15,2,13,19,1998
266,2,Brazil,7,4,1,2,14,10,4,13,1998
267,3,Croatia,7,5,0,2,11,5,6,15,1998
268,4,Netherlands,7,3,3,1,13,7,6,12,1998
269,5,Italy,5,3,2,0,8,3,5,11,1998
270,6,Argentina,5,3,1,1,10,4,6,10,1998
271,7,Germany,5,3,1,1,8,6,2,10,1998
272,8,Denmark,5,2,1,2,9,7,2,7,1998
273,9,England,4,2,1,1,7,4,3,7,1998
274,10,FR Yugoslavia,4,2,1,1,5,4,1,7,1998
275,11,Romania,4,2,1,1,4,3,1,7,1998
276,12,Nigeria,4,2,0,2,6,9,-3,6,1998
277,13,Mexico,4,1,2,1,8,7,1,5,1998
278,14,Paraguay,4,1,2,1,3,2,1,5,1998
279,15,Norway,4,1,2,1,5,5,0,5,1998
280,16,Chile,4,0,3,1,5,8,-3,3,1998
281,17,Spain,3,1,1,1,8,4,4,4,1998
282,18,Morocco,3,1,1,1,5,5,0,4,1998
283,19,Belgium,3,0,3,0,3,3,0,3,1998
284,20,Iran,3,1,0,2,2,4,-2,3,1998
285,21,Colombia,3,1,0,2,1,3,-2,3,1998
286,22,Jamaica,3,1,0,2,3,9,-6,3,1998
287,23,Austria,3,0,2,1,3,4,-1,2,1998
288,24,South Africa,3,0,2,1,3,6,-3,2,1998
289,25,Cameroon,3,0,2,1,2,5,-3,2,1998
290,26,Tunisia,3,0,1,2,1,4,-3,1,1998
291,27,Scotland,3,0,1,2,2,6,-4,1,1998
292,28,Saudi Arabia,3,0,1,2,2,7,-5,1,1998
293,29,Bulgaria,3,0,1,2,1,7,-6,1,1998
294,30,South Korea,3,0,1,2,2,9,-7,1,1998
295,31,Japan,3,0,0,3,1,4,-3,0,1998
296,32,United States,3,0,0,3,1,5,-4,0,1998
297,1,Brazil,7,7,0,0,18,4,14,21,2002
298,2,Germany,7,5,1,1,14,3,11,16,2002
299,3,Turkey,7,4,1,2,10,6,4,13,2002
300,4,South Korea,7,3,2,2,8,6,2,11,2002
301,5,Spain,5,3,2,0,10,5,5,11,2002
302,6,England,5,2,2,1,6,3,3,8,2002
303,7,Senegal,5,2,2,1,7,6,1,8,2002
304,8,United States,5,2,1,2,7,7,0,7,2002
305,9,Japan,4,2,1,1,5,3,2,7,2002
306,10,Denmark,4,2,1,1,5,5,0,7,2002
307,11,Mexico,4,2,1,1,4,4,0,7,2002
308,12,Republic of Ireland,4,1,3,0,6,3,3,6,2002
309,13,Sweden,4,1,2,1,5,5,0,5,2002
310,14,Belgium,4,1,2,1,6,7,-1,5,2002
311,15,Italy,4,1,1,2,5,5,0,4,2002
312,16,Paraguay,4,1,1,2,6,7,-1,4,2002
313,17,South Africa,3,1,1,1,5,5,0,4,2002
314,18,Argentina,3,1,1,1,2,2,0,4,2002
315,19,Costa Rica,3,1,1,1,5,6,-1,4,2002
316,20,Cameroon,3,1,1,1,2,3,-1,4,2002
317,21,Portugal,3,1,0,2,6,4,2,3,2002
318,22,Russia,3,1,0,2,4,4,0,3,2002
319,23,Croatia,3,1,0,2,2,3,-1,3,2002
320,24,Ecuador,3,1,0,2,2,4,-2,3,2002
321,25,Poland,3,1,0,2,3,7,-4,3,2002
322,26,Uruguay,3,0,2,1,4,5,-1,2,2002
323,27,Nigeria,3,0,1,2,1,3,-2,1,2002
324,28,France,3,0,1,2,0,3,-3,1,2002
325,29,Tunisia,3,0,1,2,1,5,-4,1,2002
326,30,Slovenia,3,0,0,3,2,7,-5,0,2002
327,31,China PR,3,0,0,3,0,9,-9,0,2002
328,32,Saudi Arabia,3,0,0,3,0,12,-12,0,2002
329,1,Italy,7,5,2,0,12,2,10,17,2006
330,2,France,7,4,3,0,9,3,6,15,2006
331,3,Germany,7,5,1,1,14,6,8,16,2006
332,4,Portugal,7,4,1,2,7,5,2,13,2006
333,5,Brazil,5,4,0,1,10,2,8,12,2006
334,6,Argentina,5,3,2,0,11,3,8,11,2006
335,7,England,5,3,2,0,6,2,4,11,2006
336,8,Ukraine,5,2,1,2,5,7,-2,7,2006
337,9,Spain,4,3,0,1,9,4,5,9,2006
338,10,Switzerland,4,2,2,0,4,0,4,8,2006
339,11,Netherlands,4,2,1,1,3,2,1,7,2006
340,12,Ecuador,4,2,0,2,5,4,1,6,2006
341,13,Ghana,4,2,0,2,4,6,-2,6,2006
342,14,Sweden,4,1,2,1,3,4,-1,5,2006
343,15,Mexico,4,1,1,2,5,5,0,4,2006
344,16,Australia,4,1,1,2,5,6,-1,4,2006
345,17,South Korea,3,1,1,1,3,4,-1,4,2006
346,18,Paraguay,3,1,0,2,2,2,0,3,2006
347,19,Ivory Coast,3,1,0,2,5,6,-1,3,2006
348,20,Czech Republic,3,1,0,2,3,4,-1,3,2006
349,21,Poland,3,1,0,2,2,4,-2,3,2006
350,22,Croatia,3,0,2,1,2,3,-1,2,2006
351,23,Angola,3,0,2,1,1,2,-1,2,2006
352,24,Tunisia,3,0,1,2,3,6,-3,1,2006
353,25,Iran,3,0,1,2,2,6,-4,1,2006
354,25,United States,3,0,1,2,2,6,-4,1,2006
355,27,Trinidad and Tobago,3,0,1,2,0,4,-4,1,2006
356,28,Japan,3,0,1,2,2,7,-5,1,2006
357,28,Saudi Arabia,3,0,1,2,2,7,-5,1,2006
358,30,Togo,3,0,0,3,1,6,-5,0,2006
359,31,Costa Rica,3,0,0,3,3,9,-6,0,2006
360,32,Serbia and Montenegro,3,0,0,3,2,10,-8,0,2006
361,1,Spain,7,6,0,1,8,2,6,18,2010
362,2,Netherlands,7,6,0,1,12,6,6,18,2010
363,3,Germany,7,5,0,2,16,5,11,15,2010
364,4,Uruguay,7,3,2,2,11,8,3,11,2010
365,5,Argentina,5,4,0,1,10,6,4,12,2010
366,6,Brazil,5,3,1,1,9,4,5,10,2010
367,7,Ghana,5,2,2,1,5,4,1,8,2010
368,8,Paraguay,5,1,3,1,3,2,1,6,2010
369,9,Japan,4,2,1,1,4,2,2,7,2010
370,10,Chile,4,2,0,2,3,5,-2,6,2010
371,11,Portugal,4,1,2,1,7,1,6,5,2010
372,12,United States,4,1,2,1,5,5,0,5,2010
373,13,England,4,1,2,1,3,5,-2,5,2010
374,14,Mexico,4,1,1,2,4,5,-1,4,2010
375,15,South Korea,4,1,1,2,6,8,-2,4,2010
376,16,Slovakia,4,1,1,2,5,7,-2,4,2010
377,17,Ivory Coast,3,1,1,1,4,3,1,4,2010
378,18,Slovenia,3,1,1,1,3,3,0,4,2010
379,19,Switzerland,3,1,1,1,1,1,0,4,2010
380,20,South Africa,3,1,1,1,3,5,-2,4,2010
381,21,Australia,3,1,1,1,3,6,-3,4,2010
382,22,New Zealand,3,0,3,0,2,2,0,3,2010
383,23,Serbia,3,1,0,2,2,3,-1,3,2010
384,24,Denmark,3,1,0,2,3,6,-3,3,2010
385,25,Greece,3,1,0,2,2,5,-3,3,2010
386,26,Italy,3,0,2,1,4,5,-1,2,2010
387,27,Nigeria,3,0,1,2,3,5,-2,1,2010
388,28,Algeria,3,0,1,2,0,2,-2,1,2010
389,29,France,3,0,1,2,1,4,-3,1,2010
390,30,Honduras,3,0,1,2,0,3,-3,1,2010
391,31,Cameroon,3,0,0,3,2,5,-3,0,2010
392,32,North Korea,3,0,0,3,1,12,-11,0,2010
393,1,Germany,7,6,1,0,18,4,14,19,2014
394,2,Argentina,7,5,1,1,8,4,4,16,2014
395,3,Netherlands,7,5,2,0,15,4,11,17,2014
396,4,Brazil,7,3,2,2,11,14,-3,11,2014
397,5,Colombia,5,4,0,1,12,4,8,12,2014
398,6,Belgium,5,4,0,1,6,3,3,12,2014
399,7,France,5,3,1,1,10,3,7,10,2014
400,8,Costa Rica,5,2,3,0,5,2,3,9,2014
401,9,Chile,4,2,1,1,6,4,2,7,2014
402,10,Mexico,4,2,1,1,5,3,2,7,2014
403,11,Switzerland,4,2,0,2,7,7,0,6,2014
404,12,Uruguay,4,2,0,2,4,6,-2,6,2014
405,13,Greece,4,1,2,1,3,5,-2,5,2014
406,14,Algeria,4,1,1,2,7,7,0,4,2014
407,15,United States,4,1,1,2,5,6,-1,4,2014
408,16,Nigeria,4,1,1,2,3,5,-2,4,2014
409,17,Ecuador,3,1,1,1,3,3,0,4,2014
410,18,Portugal,3,1,1,1,4,7,-3,4,2014
411,19,Croatia,3,1,0,2,6,6,0,3,2014
412,20,Bosnia and Herzegovina,3,1,0,2,4,4,0,3,2014
413,21,Ivory Coast,3,1,0,2,4,5,-1,3,2014
414,22,Italy,3,1,0,2,2,3,-1,3,2014
415,23,Spain,3,1,0,2,4,7,-3,3,2014
416,24,Russia,3,0,2,1,2,3,-1,2,2014
417,25,Ghana,3,0,1,2,4,6,-2,1,2014
418,26,England,3,0,1,2,2,4,-2,1,2014
419,27,South Korea,3,0,1,2,3,6,-3,1,2014
420,28,Iran,3,0,1,2,1,4,-3,1,2014
421,29,Japan,3,0,1,2,2,6,-4,1,2014
422,30,Australia,3,0,0,3,3,9,-6,0,2014
423,31,Honduras,3,0,0,3,1,8,-7,0,2014
424,32,Cameroon,3,0,0,3,1,9,-8,0,2014
425,1,France,7,6,1,0,14,6,8,19,2018
426,2,Croatia,7,4,2,1,14,9,5,14,2018
427,3,Belgium,7,6,0,1,16,6,10,18,2018
428,4,England,7,3,1,3,12,8,4,10,2018
429,5,Uruguay,5,4,0,1,7,3,4,12,2018
430,6,Brazil,5,3,1,1,8,3,5,10,2018
431,7,Sweden,5,3,0,2,6,4,2,9,2018
432,8,Russia,5,2,2,1,11,7,4,8,2018
433,9,Colombia,4,2,1,1,6,3,3,7,2018
434,10,Mexico,4,2,0,2,3,6,-3,6,2018
435,11,Denmark,4,1,3,0,3,2,1,6,2018
436,12,Spain,4,1,3,0,7,6,1,6,2018
437,13,Portugal,4,1,2,1,6,6,0,5,2018
438,14,Switzerland,4,1,2,1,5,5,0,5,2018
439,15,Argentina,4,1,1,2,6,9,-3,4,2018
440,16,Japan,4,1,1,2,6,7,-1,4,2018
441,17,Iran,3,1,1,1,2,2,0,4,2018
442,18,Senegal,3,1,1,1,4,4,0,4,2018
443,19,Germany,3,1,0,2,2,4,-2,3,2018
444,20,Nigeria,3,1,0,2,3,4,-1,3,2018
445,21,Peru,3,1,0,2,2,2,0,3,2018
446,22,Poland,3,1,0,2,2,5,-3,3,2018
447,23,Saudi Arabia,3,1,0,2,2,7,-5,3,2018
448,24,Serbia,3,1,0,2,2,4,-2,3,2018
449,25,South Korea,3,1,0,2,3,3,0,3,2018
450,26,Tunisia,3,1,0,2,5,8,-3,3,2018
451,27,Australia,3,0,1,2,2,5,-3,1,2018
452,28,Costa Rica,3,0,1,2,2,5,-3,1,2018
453,29,Iceland,3,0,1,2,2,5,-3,1,2018
454,30,Morocco,3,0,1,2,2,4,-2,1,2018
455,31,Egypt,3,0,0,3,2,6,-4,0,2018
456,32,Panama,3,0,0,3,2,11,-9,0,2018
457,1,Argentina,7,6,0,1,15,8,7,18,2022
458,2,France,7,5,0,2,16,8,8,15,2022
459,3,Croatia,7,4,2,1,8,7,1,14,2022
460,4,Morocco,7,4,1,2,6,5,1,13,2022
461,5,England,5,3,1,1,13,4,9,10,2022
462,6,Netherlands,5,3,1,1,10,4,6,10,2022
463,7,Portugal,5,3,0,2,12,6,6,9,2022
464,8,Brazil,5,3,0,2,8,3,5,9,2022
465,9,Japan,4,2,0,2,5,4,1,6,2022
466,10,Senegal,4,2,0,2,5,7,-2,6,2022
467,11,Australia,4,2,0,2,4,6,-2,6,2022
468,12,Switzerland,4,2,0,2,5,9,-4,6,2022
469,13,USA,4,1,2,1,3,4,-1,5,2022
470,14,Spain,4,1,1,2,9,3,6,4,2022
471,15,Poland,4,1,1,2,3,5,-2,4,2022
472,16,South Korea,4,1,1,2,5,8,-3,4,2022
473,17,Germany,3,1,1,1,6,5,1,4,2022
474,18,Ecuador,3,1,1,1,4,3,1,4,2022
475,19,Cameroon,3,1,1,1,4,4,0,4,2022
476,20,Uruguay,3,1,1,1,2,2,0,4,2022
477,21,Tunisia,3,1,1,1,1,1,0,4,2022
478,22,Mexico,3,1,1,1,2,3,-1,4,2022
479,23,Belgium,3,1,1,1,1,2,-1,4,2022
480,24,Ghana,3,1,0,2,5,7,-2,3,2022
481,25,Saudi Arabia,3,1,0,2,3,5,-2,3,2022
482,26,Iran,3,1,0,2,4,7,-3,3,2022
483,27,Costa Rica,3,1,0,2,3,11,-8,3,2022
484,28,Denmark,3,0,1,2,1,3,-2,1,2022
